Country,Year,Consumption,Consumption Rate
Afghanistan,2019,,0.01
Afghanistan,2020,,0.01
Afghanistan,2021,,
Afghanistan,2022,,0.01
Afghanistan,2023,1000,0.02
Albania,2019,11000,3.95
Albania,2020,8000,2.92
Albania,2021,8000,2.75
Albania,2022,10000,3.45
Albania,2023,10000,3.56
Algeria,2019,130000,3.03
Algeria,2020,132000,3.04
Algeria,2021,155000,3.51
Algeria,2022,64000,1.41
Algeria,2023,63000,1.36
Angola,2019,18000,0.54
Angola,2020,13000,0.4
Angola,2021,11000,0.33
Angola,2022,21000,0.6
Angola,2023,20000,0.55
Antigua and Barbuda,2019,1000,6.48
Antigua and Barbuda,2020,1000,5.87
Antigua and Barbuda,2021,1000,6.47
Antigua and Barbuda,2022,1000,8.65
Antigua and Barbuda,2023,1000,14.44
Argentina,2019,87000,1.94
Argentina,2020,96000,2.14
Argentina,2021,105000,2.32
Argentina,2022,103000,2.26
Argentina,2023,115000,2.51
Armenia,2019,18000,6.34
Armenia,2020,17000,6.05
Armenia,2021,23000,8.07
Armenia,2022,19000,6.95
Armenia,2023,24000,8.25
Australia,2019,149000,5.86
Australia,2020,153000,5.95
Australia,2021,149000,5.74
Australia,2022,175000,6.69
Australia,2023,155000,5.88
Austria,2019,84000,9.43
Austria,2020,79000,8.82
Austria,2021,75000,8.46
Austria,2022,62000,6.93
Austria,2023,56000,6.18
Azerbaijan,2019,12000,1.18
Azerbaijan,2020,12000,1.17
Azerbaijan,2021,16000,1.54
Azerbaijan,2022,20000,1.91
Azerbaijan,2023,22000,2.15
Bahamas,2019,1000,2.48
Bahamas,2020,,
Bahamas,2021,1000,2.17
Bahamas,2022,2000,5.29
Bahamas,2023,2000,6.15
Bahrain,2019,9000,6.29
Bahrain,2020,10000,6.99
Bahrain,2021,15000,10.51
Bahrain,2022,12000,8.01
Bahrain,2023,10000,6.66
Bangladesh,2019,4000,0.02
Bangladesh,2020,5000,0.03
Bangladesh,2021,5000,0.03
Bangladesh,2022,5000,0.03
Bangladesh,2023,5000,0.03
Barbados,2019,2000,8.76
Barbados,2020,2000,7.93
Barbados,2021,2000,6.94
Barbados,2022,3000,10.14
Barbados,2023,3000,10.55
Belarus,2019,46000,4.76
Belarus,2020,56000,5.78
Belarus,2021,47000,4.94
Belarus,2022,81000,8.5
Belarus,2023,12000,1.36
Belgium,2019,69000,6
Belgium,2020,62000,5.39
Belgium,2021,66000,5.66
Belgium,2022,102000,8.74
Belgium,2023,74000,6.3
Belize,2019,7000,17.55
Belize,2020,3000,8.36
Belize,2021,10000,24.27
Belize,2022,10000,25.5
Belize,2023,2000,4.76
Benin,2019,2000,0.19
Benin,2020,4000,0.3
Benin,2021,6000,0.43
Benin,2022,4000,0.29
Benin,2023,,
Bhutan,2019,1000,0.75
Bhutan,2020,1000,0.88
Bhutan,2021,1000,1.27
Bhutan,2022,1000,1.34
Bhutan,2023,1000,1.3
Bolivia,2019,27000,2.32
