Country,Year,Production,Yield_tonnes_per_hectare,Production_Tonnes
Angola,2000,50,0.142,3000
Angola,2001,21,0.1031,1260
Angola,2002,57,0.1145,3420
Angola,2003,38,0.102,2280
Angola,2004,15,0.1165,900
Angola,2005,25,0.2188,1500
Angola,2006,35,0.3333,2100
Angola,2007,30,0.5263,1800
Angola,2008,30,0.2,1800
Angola,2009,30,0.2652,1800
Angola,2010,25,0.3425,1500
Angola,2011,35,0.3071,2100
Angola,2012,29,0.307,1740
Angola,2013,31,0.3083,1860
Angola,2014,30,0.2875,1800
Angola,2015,25,0.2874,1500
Angola,2016,20,0.3062,1200
Angola,2017,19,0.3224,1140
Angola,2018,20,0.3272,1200
Angola,2019,32,0.3312,1920
Angola,2020,30,0.339,1800
Angola,2021,30,0.3456,1800
Angola,2022,20,0.3373,1200
Angola,2023,25,0.3406,1500
Bolivia,2000,173,1.1349,10380
Bolivia,2001,118,0.9755,7080
Bolivia,2002,149,0.9866,8940
Bolivia,2003,125,0.9872,7500
Bolivia,2004,165,0.9768,9900
Bolivia,2005,135,0.9788,8100
Bolivia,2006,152,0.9889,9120
Bolivia,2007,140,1.052,8400
Bolivia,2008,135,1.0601,8100
Bolivia,2009,140,1.0719,8400
Bolivia,2010,125,0.9311,7500
Bolivia,2011,140,0.9322,8400
Bolivia,2012,115,0.9005,6900
Bolivia,2013,128,0.9724,7680
Bolivia,2014,100,0.8966,6000
Bolivia,2015,80,0.9098,4800
Bolivia,2016,75,0.9194,4500
Bolivia,2017,85,0.8985,5100
Bolivia,2018,85,0.8994,5100
Bolivia,2019,85,0.9742,5100
Bolivia,2020,80,0.9159,4800
Bolivia,2021,85,0.9179,5100
Bolivia,2022,90,0.8954,5400
Bolivia,2023,95,0.9248,5700
Brazil,2000,34100,0.8393,2046000
Brazil,2001,35100,0.7789,2106000
Brazil,2002,53600,1.1011,3216000
Brazil,2003,33200,0.8295,1992000
Brazil,2004,43600,1.0412,2616000
Brazil,2005,36100,0.9201,2166000
Brazil,2006,46700,1.113,2802000
Brazil,2007,39100,0.9933,2346000
Brazil,2008,53300,1.2586,3198000
Brazil,2009,44800,1.1426,2688000
Brazil,2010,54500,1.3461,3270000
Brazil,2011,49200,1.2568,2952000
Brazil,2012,57600,1.4327,3456000
Brazil,2013,57200,1.4215,3432000
Brazil,2014,54300,1.4036,3258000
Brazil,2015,49400,1.3387,2964000
Brazil,2016,56100,1.5148,3366000
